securLayer,HEXinURL,IPinURL,hostLength,URLlength,pathLength,dashInHOST,dotInHOST,dotInPATH,slashInURL,DigitInHOST,NumOfCertainKeyword,numOfSpecialCharacters,AtInURL,underscoreInHOST,underscoreInPATH,PresenceOfWWW,portRedirect,numOfHexWithePersent,NumberOfForms,numGet,numpost,numberOfOuterSRCinScript,numberOfScript,NumberOfIframe,NumberOfApplet,NumberOfEmbed,NumberOfFrame,NumberOflink,NumberOfNonlink,NumberOfFsubmint,NumberOfInputEmail,NumberOfInputpassword,NumberOfFbutton,alexa,age,target label
1,0,0,18,30,4,0,2,0,4,0,0,0,0,0,0,1,0,0,21,1,20,40,61,0,0,0,0,396,4,19,0,1,34,-1,9,1
1,1,0,12,64,44,1,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,83,1,0,0,0,19,6033072,6,1
0,0,0,25,58,26,0,1,1,4,0,4,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,67,0,0,0,0,19,-1,2,1
0,0,0,16,42,19,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,1,0,1,10,-1,0.11,1
1,0,0,14,45,23,0,2,1,6,0,1,0,0,0,0,1,0,0,1,1,0,18,22,1,0,0,0,115,26,0,1,6,5,838451,22,1
0,0,0,17,25,1,0,2,0,3,0,0,0,0,0,0,0,0,0,5,0,5,5,6,0,0,0,0,2,0,0,0,5,5,-1,-1,1
1,0,0,7,30,15,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,17,27,2,0,0,0,17,5,1,0,1,3,63965,12,1
1,0,0,7,30,15,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,17,27,2,0,0,0,17,5,1,0,1,3,63791,12,1
1,0,0,32,79,39,0,2,0,3,1,1,5,0,0,0,0,0,0,2,2,0,8,16,0,0,0,0,110,3,0,0,2,3,275936,7,1
0,1,0,17,65,41,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,2,5,18,7,0,0,0,13,4,1,0,1,3,9278278,1,1
0,1,0,21,69,41,0,2,0,5,0,0,0,0,0,0,1,0,0,2,0,2,5,18,7,0,0,0,13,4,1,0,1,3,9266605,1,1
1,0,0,11,43,24,0,2,1,4,0,1,1,0,0,0,1,0,0,2,0,2,4,17,4,0,0,0,13,4,1,0,1,3,481,17,1
1,0,0,14,46,24,0,2,1,4,0,1,1,0,0,0,0,0,0,2,0,2,5,19,4,0,0,0,13,4,1,0,1,3,125,0,1
0,0,0,20,40,13,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,2,1,0,0,0,14,1,5,5,5,2,1530746,13,1
1,0,0,22,54,24,0,1,1,4,0,1,0,0,0,0,0,0,0,2,0,2,10,11,0,0,0,0,16,0,0,0,2,2,6681768,12,1
1,0,0,22,96,66,0,1,2,4,0,4,5,1,0,0,0,0,0,2,0,2,10,11,0,0,0,0,16,0,0,0,2,2,6673026,12,1
0,0,0,22,53,24,0,1,1,4,0,1,0,0,0,0,0,0,0,2,0,2,10,11,0,0,0,0,16,0,0,0,2,2,6673026,12,1
0,0,0,14,60,39,0,1,0,8,0,2,0,0,0,0,0,0,0,2,0,2,3,9,1,0,0,0,4,0,0,1,0,2,-1,4,1
0,1,0,10,279,262,0,1,1,14,0,9,16,0,0,0,0,0,0,2,1,1,19,42,0,0,0,0,57,17,1,0,0,2,15485745,3,1
0,1,0,10,279,262,0,1,1,14,0,9,16,0,0,0,0,0,0,2,1,1,19,42,0,0,0,0,59,17,1,0,0,2,15485745,3,1
0,0,0,22,66,37,0,1,1,6,0,3,0,0,0,0,0,0,0,1,0,1,1,3,2,0,0,0,9,0,0,0,2,2,-1,-1,1
0,0,0,15,108,86,0,2,0,9,0,6,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,4,0,0,0,2,2,-1,-1,1
0,0,0,15,82,60,0,2,0,9,0,3,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,4,0,0,0,2,2,-1,-1,1
0,0,0,15,61,39,0,2,1,7,0,4,0,0,0,0,0,0,0,2,0,2,3,9,1,0,0,0,4,0,0,1,0,2,4401204,-10,1
0,0,0,14,69,48,0,1,1,8,0,3,0,0,0,0,0,0,0,2,0,2,3,9,1,0,0,0,4,0,0,1,0,2,-1,-10,1
0,0,0,9,45,29,0,1,1,6,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,0,0,0,2,2,16857948,14,1
1,0,0,20,78,50,1,2,1,8,0,4,0,0,0,0,1,0,0,2,0,2,3,8,1,0,0,0,4,0,0,0,1,2,13158852,0,1
0,0,0,20,70,43,1,2,1,8,0,2,0,0,0,0,1,0,0,2,0,2,3,9,1,0,0,0,4,0,0,1,0,2,13158852,0,1
0,0,0,20,77,50,1,2,1,8,0,4,0,0,0,0,1,0,0,2,0,2,3,8,1,0,0,0,4,0,0,0,1,2,13158852,0,1
0,0,0,24,76,45,0,2,0,8,0,2,0,0,0,0,1,0,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,2,7972917,4,1
0,0,0,18,65,40,0,1,1,5,0,4,0,0,0,1,0,0,0,2,0,2,3,8,1,0,0,0,4,0,0,0,1,2,2749985,7,1
1,0,0,19,58,31,0,1,1,6,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,0,0,0,2,2,-1,0.1,1
0,0,0,19,57,31,0,1,1,6,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,0,0,0,2,2,-1,0.1,1
0,0,1,15,57,35,0,3,1,6,12,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,-1,25,1
1,0,0,14,287,265,0,2,7,3,0,9,33,0,0,2,0,0,4,2,0,2,2,8,1,0,0,0,4,0,1,1,1,1,16,23,1
